SELIC,USD_VALOR,ACEITO/OFERTADO,DURACAO,TAXA_ULTIMO_LEILAO,REJEICAO_MERCADO,TAXA
0.02462,4.1652,0.311,3633,5.562,0,5.768
0.02462,4.1652,0.4856666666666667,6097,5.665,0,5.83
0.02462,4.1652,0.3285,1714,5.4788,0,5.71
0.02462,4.1652,0.5143333333333333,13402,5.74,0,5.91
0.02462,4.1369,0.7495,13388,5.91,0,5.93
0.02462,4.1369,0.2505,6083,5.83,0,5.85
0.02462,4.1369,0.1026,3619,5.768,1,5.79
0.02462,4.1369,0.8974,1700,5.71,0,5.618
0.02462,3.9505,0.652,13374,5.93,0,5.93
0.02462,3.9505,0.348,6069,5.85,0,5.885
0.02462,3.9505,0.2392,3605,5.79,0,5.855
0.02462,3.9505,0.7608,1686,5.618,0,5.547
0.02462,3.7079,0.45,13360,5.93,0,5.2698
0.02462,3.7079,0.14,3591,5.855,1,5.147
0.02462,3.7079,0.86,1672,5.547,0,4.757
0.02462,3.7079,0.55,6055,5.885,0,5.2598
0.02462,3.7019,0.5513333333333333,13346,5.2698,0,5.165
0.02462,3.7019,0.4486666666666666,6041,5.2598,0,5.055
0.02462,3.7019,0.409,3577,5.147,0,4.834
0.02462,3.7019,0.591,1658,4.757,0,4.628
0.02462,3.7792,0.04,6027,5.055,1,5.1475
0.02462,3.7792,0.96,13332,5.165,0,5.25
0.02462,3.7792,0.0566666666666666,3563,4.834,1,5.048
0.02462,3.7792,0.802,1644,4.628,0,4.77
0.02462,3.8925,0.4815,6013,5.1475,0,5.09
0.02462,3.8925,0.36275,13318,5.25,0,5.12
0.02462,3.8925,0.3524,1630,4.77,0,4.75
0.02462,3.8925,0.24,3549,5.048,0,4.976
0.02462,3.9013,0.58,1616,4.75,0,4.637
0.02462,3.9013,0.879,13304,5.12,0,5.0899
0.02462,3.9013,0.42,3535,4.976,0,4.84
0.02462,3.9013,0.121,5999,5.09,1,5.0785
0.02462,3.7208,0.5518333333333333,5971,5.0785,0,4.74
0.02462,3.7208,0.2984,3507,4.84,0,4.532
0.02462,3.7208,0.4481666666666666,13276,5.0899,0,4.76
0.02462,3.7615,0.18,5957,4.74,0,4.51
0.02462,3.7615,0.82,13262,4.76,0,4.5699
0.02462,3.7615,0.2312,3493,4.532,0,4.41
0.02462,3.7615,0.7688,2032,4.33,0,4.22
0.02462,3.6741,0.6033333333333334,13248,4.5699,0,4.45
0.02462,3.6741,0.3966666666666666,5943,4.51,0,4.37
0.02462,3.6741,0.2046,2018,4.22,0,4.09
0.02462,3.6741,0.7954,3479,4.41,0,4.22
0.02462,3.7206,0.1166666666666666,13234,4.45,1,4.438
